ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_58095e6c87,AFCON2025_M23_E_02,STAD_RAB_03,FAN_32D990AF,CATEGORY_2,250,WEBSITE,2025-12-15,17:30,GATE_06,SCANNED,2025-12-28 17:30:03
TICKET_05da1e42db,AFCON2025_M23_E_02,STAD_RAB_03,FAN_0E900C7C,CATEGORY_2,250,WEBSITE,2025-11-01,18:11,GATE_05,SCANNED,2025-12-28 18:11:22
TICKET_006ab5fddb,AFCON2025_M23_E_02,STAD_RAB_03,FAN_ED3EAFC1,CATEGORY_1,400,WEBSITE,2025-12-27,18:06,GATE_01,SCANNED,2025-12-28 18:06:50
TICKET_82b2254103,AFCON2025_M23_E_02,STAD_RAB_03,FAN_908E77E6,CATEGORY_3,100,WEBSITE,2025-12-08,17:23,GATE_08,SCANNED,2025-12-28 17:23:01
TICKET_ee9353a544,AFCON2025_M23_E_02,STAD_RAB_03,FAN_D270A503,CATEGORY_1,325,MOBILE_APP,2025-11-22,17:33,GATE_03,SCANNED,2025-12-28 17:33:39
TICKET_39f2366d3b,AFCON2025_M23_E_02,STAD_RAB_03,FAN_17A25E3E,CATEGORY_2,250,WEBSITE,2025-12-06,18:13,GATE_05,SCANNED,2025-12-28 18:13:04
TICKET_24184da1b1,AFCON2025_M23_E_02,STAD_RAB_03,FAN_7CF761A0,CATEGORY_3,100,MOBILE_APP,2025-10-31,11:30,GATE_07,SCANNED,2025-12-28 11:30:19
TICKET_7371f75a81,AFCON2025_M23_E_02,STAD_RAB_03,FAN_6A2752CC,CATEGORY_2,250,WEBSITE,2025-12-15,18:25,GATE_05,SCANNED,2025-12-28 18:25:30
TICKET_5e6552b9d4,AFCON2025_M23_E_02,STAD_RAB_03,FAN_FE9CE855,CATEGORY_3,100,MOBILE_APP,2025-11-25,18:13,GATE_07,SCANNED,2025-12-28 18:13:03
TICKET_a6be5bc7ef,AFCON2025_M23_E_02,STAD_RAB_03,FAN_FE9128F8,CATEGORY_3,100,MOBILE_APP,2025-12-20,16:37,GATE_07,SCANNED,2025-12-28 16:37:28
