ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_661af64c42,AFCON2025_M31_D_03,STAD_RAB_02,FAN_A460D965,CATEGORY_3,100,WEBSITE,2025-11-22,19:40,GATE_01,SCANNED,2025-12-30 19:40:01
TICKET_ca3bdd0c46,AFCON2025_M31_D_03,STAD_RAB_02,FAN_5279B1EE,CATEGORY_1,300,MOBILE_APP,2025-12-06,20:08,GATE_02,SCANNED,2025-12-30 20:08:00
TICKET_5ba4c2d279,AFCON2025_M31_D_03,STAD_RAB_02,FAN_97182DC5,CATEGORY_2,200,MOBILE_APP,2025-11-10,19:33,GATE_04,SCANNED,2025-12-30 19:33:59
TICKET_5c2477642d,AFCON2025_M31_D_03,STAD_RAB_02,FAN_BE3066B0,CATEGORY_3,100,MOBILE_APP,2025-11-20,19:52,GATE_01,SCANNED,2025-12-30 19:52:39
TICKET_2de4fbb06a,AFCON2025_M31_D_03,STAD_RAB_02,FAN_9DC57748,CATEGORY_1,300,WEBSITE,2025-12-19,19:38,GATE_03,SCANNED,2025-12-30 19:38:05
TICKET_47361aab48,AFCON2025_M31_D_03,STAD_RAB_02,FAN_D239BC49,CATEGORY_2,200,WEBSITE,2025-11-18,19:45,GATE_04,SCANNED,2025-12-30 19:45:32
TICKET_7b3f5a97c3,AFCON2025_M31_D_03,STAD_RAB_02,FAN_2A9015D6,CATEGORY_2,200,WEBSITE,2025-12-29,19:38,GATE_04,SCANNED,2025-12-30 19:38:43
TICKET_7892a87a22,AFCON2025_M31_D_03,STAD_RAB_02,FAN_47CD6EE5,CATEGORY_2,200,WEBSITE,2025-11-16,20:26,GATE_04,SCANNED,2025-12-30 20:26:18
TICKET_ec5fb6ca34,AFCON2025_M31_D_03,STAD_RAB_02,FAN_15CB51EC,CATEGORY_3,100,WEBSITE,2025-11-09,19:55,GATE_03,SCANNED,2025-12-30 19:55:13
TICKET_10c33d3e16,AFCON2025_M31_D_03,STAD_RAB_02,FAN_70033612,CATEGORY_3,100,MOBILE_APP,2025-12-10,19:40,GATE_02,SCANNED,2025-12-30 19:40:20
TICKET_127e8a7668,AFCON2025_M31_D_03,STAD_RAB_02,FAN_556B489E,CATEGORY_1,300,WEBSITE,2025-12-20,19:25,GATE_02,SCANNED,2025-12-30 19:25:08
