ticket_id,match_id,stadium_id,fan_id,ticket_category,ticket_price_mad,purchase_channel,purchase_date,entry_time,entry_gate,scan_status,scan_timestamp
TICKET_95e3116b1e,AFCON2025_M17_D_02,STAD_RAB_04,FAN_23BF0D9B,CATEGORY_2,200,WEBSITE,2025-11-23,13:13,GATE_04,SCANNED,2025-12-27 13:13:22
TICKET_894aa37248,AFCON2025_M17_D_02,STAD_RAB_04,FAN_D5F8D05A,CATEGORY_1,300,WEBSITE,2025-11-22,13:13,GATE_02,SCANNED,2025-12-27 13:13:17
TICKET_caf7b0fdc1,AFCON2025_M17_D_02,STAD_RAB_04,FAN_21AA45D4,CATEGORY_1,300,WEBSITE,2025-12-21,13:02,GATE_02,SCANNED,2025-12-27 13:02:28
TICKET_b8aa5a6461,AFCON2025_M17_D_02,STAD_RAB_04,FAN_E52F0584,CATEGORY_1,300,MOBILE_APP,2025-11-26,12:51,GATE_01,SCANNED,2025-12-27 12:51:52
TICKET_6cc5b57344,AFCON2025_M17_D_02,STAD_RAB_04,FAN_C2406A1E,CATEGORY_2,200,WEBSITE,2025-11-18,12:39,GATE_04,SCANNED,2025-12-27 12:39:33
TICKET_53360ff42b,AFCON2025_M17_D_02,STAD_RAB_04,FAN_B11EA424,CATEGORY_3,100,WEBSITE,2025-12-05,12:39,GATE_02,SCANNED,2025-12-27 12:39:10
TICKET_6c5272374e,AFCON2025_M17_D_02,STAD_RAB_04,FAN_1D824A00,CATEGORY_3,100,MOBILE_APP,2025-11-23,12:02,GATE_03,SCANNED,2025-12-27 12:02:37
TICKET_a152ac6c26,AFCON2025_M17_D_02,STAD_RAB_04,FAN_3187F9F8,CATEGORY_3,100,WEBSITE,2025-10-31,11:41,GATE_04,SCANNED,2025-12-27 11:41:32
TICKET_ca721da366,AFCON2025_M17_D_02,STAD_RAB_04,FAN_F73C0114,CATEGORY_2,200,MOBILE_APP,2025-12-19,13:19,GATE_04,SCANNED,2025-12-27 13:19:36
TICKET_742a5969a7,AFCON2025_M17_D_02,STAD_RAB_04,FAN_7777F95D,CATEGORY_3,100,WEBSITE,2025-11-06,13:05,GATE_01,SCANNED,2025-12-27 13:05:06
TICKET_185f662077,AFCON2025_M17_D_02,STAD_RAB_04,FAN_F1982A83,CATEGORY_3,100,MOBILE_APP,2025-11-06,12:52,GATE_02,SCANNED,2025-12-27 12:52:30
TICKET_c56784295e,AFCON2025_M17_D_02,STAD_RAB_04,FAN_D6F49924,CATEGORY_3,100,WEBSITE,2025-12-12,12:47,GATE_04,SCANNED,2025-12-27 12:47:45
TICKET_ec86ed48d4,AFCON2025_M17_D_02,STAD_RAB_04,FAN_8B5D5490,CATEGORY_1,300,MOBILE_APP,2025-12-03,13:13,GATE_03,SCANNED,2025-12-27 13:13:37
TICKET_0f07c95ddf,AFCON2025_M17_D_02,STAD_RAB_04,FAN_0BC73A72,CATEGORY_3,100,APP,2025-12-18,12:50,GATE_01,SCANNED,2025-12-27 12:50:23
TICKET_850c4048da,AFCON2025_M17_D_02,STAD_RAB_04,FAN_4F8DADCF,CATEGORY_3,100,MOBILE_APP,2025-11-06,12:40,GATE_04,SCANNED,2025-12-27 12:40:05
TICKET_11373a2860,AFCON2025_M17_D_02,STAD_RAB_04,FAN_E76CA5CA,CATEGORY_2,200,MOBILE_APP,2025-12-20,13:00,GATE_04,SCANNED,2025-12-27 13:00:37
TICKET_b5cb953e24,AFCON2025_M17_D_02,STAD_RAB_04,FAN_9C6FF28C,CATEGORY_1,300,WEBSITE,2025-12-23,12:07,GATE_03,SCANNED,2025-12-27 12:07:29
TICKET_5dacda5dfb,AFCON2025_M17_D_02,STAD_RAB_04,FAN_1AE691D2,CATEGORY_1,300,MOBILE_APP,2025-11-18,12:46,GATE_03,SCANNED,2025-12-27 12:46:40
TICKET_6894e43b01,AFCON2025_M17_D_02,STAD_RAB_04,FAN_C9768437,CATEGORY_2,200,WEBSITE,2025-10-31,12:58,GATE_04,SCANNED,2025-12-27 12:58:33
TICKET_ba0953abe4,AFCON2025_M17_D_02,STAD_RAB_04,FAN_F0C3F77F,CATEGORY_3,100,MOBILE_APP,2025-12-07,13:22,GATE_02,SCANNED,2025-12-27 13:22:35
